humanRL_gym_ple/dqn_ple.py:126: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(m.weight)
Collecting experience...
humanRL_gym_ple/dqn_ple.py:154: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  ../torch/csrc/utils/tensor_new.cpp:201.)
  wrap_tensor = lambda x: torch.tensor([x])
Ep:  112 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5929 | Ep_Loss: 0.8498
Ep:  113 | Ep_r:  0.0 | Steps:  28 | Total Steps:  5958 | Ep_Loss: 4.1978
Ep:  114 | Ep_r:  0.0 | Steps:  22 | Total Steps:  5981 | Ep_Loss: 3.2976
Ep:  115 | Ep_r:  0.0 | Steps:  23 | Total Steps:  6005 | Ep_Loss: 3.9757
Ep:  116 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6011 | Ep_Loss: 0.7753
Ep:  117 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6017 | Ep_Loss: 0.8777
Ep:  118 | Ep_r:  0.0 | Steps:  55 | Total Steps:  6073 | Ep_Loss: 7.5239
Ep:  119 | Ep_r:  0.0 | Steps:  24 | Total Steps:  6098 | Ep_Loss: 3.4808
Ep:  120 | Ep_r:  0.0 | Steps:  25 | Total Steps:  6124 | Ep_Loss: 3.8378
Ep:  121 | Ep_r:  0.0 | Steps:  53 | Total Steps:  6178 | Ep_Loss: 7.8728
Ep:  122 | Ep_r:  0.0 | Steps:  25 | Total Steps:  6204 | Ep_Loss: 3.9585
Ep:  123 | Ep_r:  0.0 | Steps:  60 | Total Steps:  6265 | Ep_Loss: 8.1350
Ep:  124 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6271 | Ep_Loss: 0.5606
Ep:  125 | Ep_r:  0.0 | Steps:  25 | Total Steps:  6297 | Ep_Loss: 3.5037
Ep:  126 | Ep_r:  0.0 | Steps:  46 | Total Steps:  6344 | Ep_Loss: 5.6238
