humanRL_gym_ple/dqn_ple.py:131: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(m.weight)
Collecting experience...
humanRL_gym_ple/dqn_ple.py:184: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  ../torch/csrc/utils/tensor_new.cpp:201.)
  wrap_tensor = lambda x: torch.tensor([x])
Ep:  160 | Ep_r:  0.0 | Steps:  22 | Total Steps:  5929 | Ep_Loss: 1.1093
Ep:  161 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5935 | Ep_Loss: 0.2855
Ep:  162 | Ep_r:  0.0 | Steps:  13 | Total Steps:  5949 | Ep_Loss: 0.7578
Ep:  163 | Ep_r:  1.0 | Steps:  30 | Total Steps:  5980 | Ep_Loss: 1.4936
Ep:  164 | Ep_r:  0.0 | Steps:  22 | Total Steps:  6003 | Ep_Loss: 1.1005
Ep:  165 | Ep_r:  0.0 | Steps:  11 | Total Steps:  6015 | Ep_Loss: 0.5487
Ep:  166 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6021 | Ep_Loss: 0.2843
Ep:  167 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6027 | Ep_Loss: 0.3063
Ep:  168 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6033 | Ep_Loss: 0.3064
Ep:  169 | Ep_r:  0.0 | Steps:  23 | Total Steps:  6057 | Ep_Loss: 1.1523
Ep:  170 | Ep_r:  1.0 | Steps:  28 | Total Steps:  6086 | Ep_Loss: 1.4960
Ep:  171 | Ep_r:  0.0 | Steps:  16 | Total Steps:  6103 | Ep_Loss: 0.8204
Ep:  172 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6109 | Ep_Loss: 0.2946
Ep:  173 | Ep_r:  0.0 | Steps:  16 | Total Steps:  6126 | Ep_Loss: 0.8429
Ep:  174 | Ep_r:  0.0 | Steps:  32 | Total Steps:  6159 | Ep_Loss: 1.6465
Ep:  175 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6165 | Ep_Loss: 0.2733
Ep:  176 | Ep_r:  0.0 | Steps:  12 | Total Steps:  6178 | Ep_Loss: 0.6740
Ep:  177 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6184 | Ep_Loss: 0.2524
Ep:  178 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6190 | Ep_Loss: 0.3007
Ep:  179 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6196 | Ep_Loss: 0.2757
Ep:  180 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6202 | Ep_Loss: 0.3157
Ep:  181 | Ep_r:  0.0 | Steps:  12 | Total Steps:  6215 | Ep_Loss: 0.5701
Ep:  182 | Ep_r:  0.0 | Steps:  34 | Total Steps:  6250 | Ep_Loss: 1.7454
Ep:  183 | Ep_r:  0.0 | Steps:  51 | Total Steps:  6302 | Ep_Loss: 2.3372
Ep:  184 | Ep_r:  0.0 | Steps:  24 | Total Steps:  6327 | Ep_Loss: 1.2402
Ep:  185 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6333 | Ep_Loss: 0.2667
Ep:  186 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6339 | Ep_Loss: 0.3039
Ep:  187 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6345 | Ep_Loss: 0.2789
Ep:  188 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6351 | Ep_Loss: 0.2724
Ep:  189 | Ep_r:  0.0 | Steps:  11 | Total Steps:  6363 | Ep_Loss: 0.5350
Ep:  190 | Ep_r:  0.0 | Steps:  24 | Total Steps:  6388 | Ep_Loss: 1.2704
Ep:  191 | Ep_r:  0.0 | Steps:  60 | Total Steps:  6449 | Ep_Loss: 2.9845
Ep:  192 | Ep_r:  0.0 | Steps:  21 | Total Steps:  6471 | Ep_Loss: 1.2712
Ep:  193 | Ep_r:  0.0 | Steps:  25 | Total Steps:  6497 | Ep_Loss: 1.4096
Ep:  194 | Ep_r:  0.0 | Steps:  25 | Total Steps:  6523 | Ep_Loss: 1.2799
Ep:  195 | Ep_r:  0.0 | Steps:  18 | Total Steps:  6542 | Ep_Loss: 1.0032
Ep:  196 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6548 | Ep_Loss: 0.2894
Ep:  197 | Ep_r:  0.0 | Steps:  30 | Total Steps:  6579 | Ep_Loss: 1.5838
Ep:  198 | Ep_r:  0.0 | Steps:  28 | Total Steps:  6608 | Ep_Loss: 1.3674
Ep:  199 | Ep_r:  0.0 | Steps:  23 | Total Steps:  6632 | Ep_Loss: 1.1455
Ep:  200 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6638 | Ep_Loss: 0.2939
Ep:  201 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6644 | Ep_Loss: 0.2956
Ep:  202 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6650 | Ep_Loss: 0.2924
Ep:  203 | Ep_r:  0.0 | Steps:  22 | Total Steps:  6673 | Ep_Loss: 1.1777
Ep:  204 | Ep_r:  0.0 | Steps:  14 | Total Steps:  6688 | Ep_Loss: 0.8170
Ep:  205 | Ep_r:  0.0 | Steps:  11 | Total Steps:  6700 | Ep_Loss: 0.6248
Ep:  206 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6706 | Ep_Loss: 0.2637
Ep:  207 | Ep_r:  0.0 | Steps:  15 | Total Steps:  6722 | Ep_Loss: 0.7262
Ep:  208 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6728 | Ep_Loss: 0.2844
Ep:  209 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6734 | Ep_Loss: 0.3120
Ep:  210 | Ep_r:  0.0 | Steps:  16 | Total Steps:  6751 | Ep_Loss: 0.8458
Ep:  211 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6757 | Ep_Loss: 0.2718
Ep:  212 | Ep_r:  0.0 | Steps:  199 | Total Steps:  6957 | Ep_Loss: 9.7916
Ep:  213 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6963 | Ep_Loss: 0.2667
Ep:  214 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6969 | Ep_Loss: 0.3173
Ep:  215 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6975 | Ep_Loss: 0.3550
Ep:  216 | Ep_r:  0.0 | Steps:  16 | Total Steps:  6992 | Ep_Loss: 0.8302
Ep:  217 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6998 | Ep_Loss: 0.3452
Ep:  218 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7004 | Ep_Loss: 0.2943
Ep:  219 | Ep_r:  0.0 | Steps:  12 | Total Steps:  7017 | Ep_Loss: 0.6515
Ep:  220 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7023 | Ep_Loss: 0.2681
Ep:  221 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7029 | Ep_Loss: 0.2678
Ep:  222 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7035 | Ep_Loss: 0.2415
Ep:  223 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7041 | Ep_Loss: 0.3100
Ep:  224 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7047 | Ep_Loss: 0.3409
Ep:  225 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7053 | Ep_Loss: 0.2572
Ep:  226 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7059 | Ep_Loss: 0.3846
Ep:  227 | Ep_r:  0.0 | Steps:  22 | Total Steps:  7082 | Ep_Loss: 1.1868
Ep:  228 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7088 | Ep_Loss: 0.2436
Ep:  229 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7094 | Ep_Loss: 0.3198
Ep:  230 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7100 | Ep_Loss: 0.2645
Ep:  231 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7106 | Ep_Loss: 0.2473
Ep:  232 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7112 | Ep_Loss: 0.3027
Ep:  233 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7118 | Ep_Loss: 0.3192
Ep:  234 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7124 | Ep_Loss: 0.2772
Ep:  235 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7130 | Ep_Loss: 0.3153
Ep:  236 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7136 | Ep_Loss: 0.2832
Ep:  237 | Ep_r:  0.0 | Steps:  5 | Total Steps:  7142 | Ep_Loss: 0.2997
