humanRL_gym_ple/dqn_ple.py:131: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(m.weight)
Collecting experience...
humanRL_gym_ple/dqn_ple.py:159: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  ../torch/csrc/utils/tensor_new.cpp:201.)
  wrap_tensor = lambda x: torch.tensor([x])
Ep:  170 | Ep_r:  0.0 | Steps:  22 | Total Steps:  5901 | Ep_Loss: 3.0445
Ep:  171 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5907 | Ep_Loss: 0.8208
Ep:  172 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5913 | Ep_Loss: 0.8710
Ep:  173 | Ep_r:  0.0 | Steps:  22 | Total Steps:  5936 | Ep_Loss: 3.5131
Ep:  174 | Ep_r:  0.0 | Steps:  58 | Total Steps:  5995 | Ep_Loss: 8.3136
Ep:  175 | Ep_r:  1.0 | Steps:  10 | Total Steps:  6006 | Ep_Loss: 1.7322
Ep:  176 | Ep_r:  0.0 | Steps:  22 | Total Steps:  6029 | Ep_Loss: 3.6083
Ep:  177 | Ep_r:  0.0 | Steps:  22 | Total Steps:  6052 | Ep_Loss: 3.1179
Ep:  178 | Ep_r:  1.0 | Steps:  16 | Total Steps:  6069 | Ep_Loss: 2.3928
Ep:  179 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6075 | Ep_Loss: 0.7477
Ep:  180 | Ep_r:  0.0 | Steps:  41 | Total Steps:  6117 | Ep_Loss: 6.2476
Ep:  181 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6123 | Ep_Loss: 0.9028
Ep:  182 | Ep_r:  1.0 | Steps:  18 | Total Steps:  6142 | Ep_Loss: 2.5467
Ep:  183 | Ep_r:  0.0 | Steps:  39 | Total Steps:  6182 | Ep_Loss: 5.8194
Ep:  184 | Ep_r:  0.0 | Steps:  25 | Total Steps:  6208 | Ep_Loss: 3.8936
Ep:  185 | Ep_r:  0.0 | Steps:  22 | Total Steps:  6231 | Ep_Loss: 3.3145
Ep:  186 | Ep_r:  0.0 | Steps:  22 | Total Steps:  6254 | Ep_Loss: 3.1991
Ep:  187 | Ep_r:  0.0 | Steps:  62 | Total Steps:  6317 | Ep_Loss: 8.8256
Ep:  188 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6323 | Ep_Loss: 0.8929
Ep:  189 | Ep_r:  1.0 | Steps:  11 | Total Steps:  6335 | Ep_Loss: 1.6347
Ep:  190 | Ep_r:  1.0 | Steps:  62 | Total Steps:  6398 | Ep_Loss: 8.8389
Ep:  191 | Ep_r:  1.0 | Steps:  16 | Total Steps:  6415 | Ep_Loss: 2.3767
Ep:  192 | Ep_r:  1.0 | Steps:  58 | Total Steps:  6474 | Ep_Loss: 8.0497
Ep:  193 | Ep_r:  0.0 | Steps:  29 | Total Steps:  6504 | Ep_Loss: 4.1229
Ep:  194 | Ep_r:  1.0 | Steps:  17 | Total Steps:  6522 | Ep_Loss: 2.7174
Ep:  195 | Ep_r:  0.0 | Steps:  22 | Total Steps:  6545 | Ep_Loss: 2.9905
Ep:  196 | Ep_r:  0.0 | Steps:  13 | Total Steps:  6559 | Ep_Loss: 1.9176
Ep:  197 | Ep_r:  1.0 | Steps:  10 | Total Steps:  6570 | Ep_Loss: 1.4916
Ep:  198 | Ep_r:  1.0 | Steps:  87 | Total Steps:  6658 | Ep_Loss: 11.4896
Ep:  199 | Ep_r:  1.0 | Steps:  21 | Total Steps:  6680 | Ep_Loss: 2.9329
Ep:  200 | Ep_r:  1.0 | Steps:  25 | Total Steps:  6706 | Ep_Loss: 3.4201
Ep:  201 | Ep_r:  0.0 | Steps:  26 | Total Steps:  6733 | Ep_Loss: 3.5648
Ep:  202 | Ep_r:  0.0 | Steps:  40 | Total Steps:  6774 | Ep_Loss: 5.2683
Ep:  203 | Ep_r:  1.0 | Steps:  8 | Total Steps:  6783 | Ep_Loss: 1.2296
Ep:  204 | Ep_r:  0.0 | Steps:  24 | Total Steps:  6808 | Ep_Loss: 3.2108
Ep:  205 | Ep_r:  1.0 | Steps:  21 | Total Steps:  6830 | Ep_Loss: 3.0613
Ep:  206 | Ep_r:  0.0 | Steps:  22 | Total Steps:  6853 | Ep_Loss: 3.1206
Ep:  207 | Ep_r:  1.0 | Steps:  11 | Total Steps:  6865 | Ep_Loss: 1.7005
Ep:  208 | Ep_r:  1.0 | Steps:  43 | Total Steps:  6909 | Ep_Loss: 6.2835
Ep:  209 | Ep_r:  1.0 | Steps:  35 | Total Steps:  6945 | Ep_Loss: 5.0402
Ep:  210 | Ep_r:  0.0 | Steps:  5 | Total Steps:  6951 | Ep_Loss: 1.0198
Ep:  211 | Ep_r:  1.0 | Steps:  26 | Total Steps:  6978 | Ep_Loss: 3.9996
Ep:  212 | Ep_r:  0.0 | Steps:  13 | Total Steps:  6992 | Ep_Loss: 1.8455
Ep:  213 | Ep_r:  0.0 | Steps:  11 | Total Steps:  7004 | Ep_Loss: 1.7583
Ep:  214 | Ep_r:  0.0 | Steps:  23 | Total Steps:  7028 | Ep_Loss: 3.1091
Ep:  215 | Ep_r:  0.0 | Steps:  27 | Total Steps:  7056 | Ep_Loss: 3.8037
Ep:  216 | Ep_r:  0.0 | Steps:  12 | Total Steps:  7069 | Ep_Loss: 1.8751
